,Pixel_Intensity_B4,Pixel_Intensity_B3,Pixel_Intensity_B2,IOU,Scores,Class1,Class2,Class3,Class4,Class5,Class6,Cloud_Prob,Date,Fitted,Index,B4_CI,B3_CI,B2_CI,IOU_CI,Scores_CI,Class1_CI,Class2_CI,Class3_CI,Class4_CI,Class5_CI,Class6_CI,Cloud_Prob_CI
0,7646.0,6409.0,7513.0,1.0111287832260132,0.9916446,0.03600630909204483,0.9172585606575012,0.013244680128991604,0.0041747260838747025,0.0069496603682637215,0.022365953773260117,100.0,2022-01-02 00:00:00,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,3187.0,2925.0,3783.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,100.0,2022-01-10 00:00:00,0,2,1,1,1,0,0,0,0,1,1,1,0,0
2,5634.0,4905.0,5899.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,99.0,2022-01-12 00:00:00,0,3,0,0,0,0,1,1,1,1,1,0,1,0
3,4403.0,4105.0,5227.0,1.038958191871643,0.982503,0.13884416222572327,0.8197717070579529,0.012197177857160568,0.0013826050562784076,0.004895787686109543,0.0229084100574255,39.0,2022-01-15 00:00:00,0,4,1,1,0,0,0,0,0,1,1,1,0,0
4,747.0,1037.0,1637.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,28.0,2022-01-17 00:00:00,0,5,0,0,0,0,1,1,1,1,1,0,1,0
5,855.0,1026.0,1770.0,1.0387176275253296,0.98271996,0.14335264265537262,0.8149971961975098,0.01221028808504343,0.0013808459043502808,0.004913306329399347,0.02314569056034088,100.0,2022-01-20 00:00:00,0,6,0,0,0,0,0,0,0,1,1,1,0,0
6,13138.0,10303.0,11027.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,96.0,2022-01-22 00:00:00,0,7,0,0,0,0,1,1,1,1,1,0,1,0
7,2291.0,2298.0,3003.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,100.0,2022-01-25 00:00:00,0,8,0,0,0,0,0,0,0,1,1,1,0,0
8,1695.0,1942.0,2407.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,77.0,2022-01-27 00:00:00,0,9,0,0,0,0,1,1,1,1,1,0,1,0
9,3969.0,4055.0,5051.0,1.029651761054993,0.98324764,0.15786395967006683,0.7997015118598938,0.012194526381790638,0.0013765261974185705,0.0049638450145721436,0.02389962039887905,83.0,2022-01-30 00:00:00,0,10,1,1,0,1,0,0,0,1,1,0,0,0
10,3875.0,3843.0,4684.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-02-04 00:00:00,0,11,1,1,1,0,1,1,1,1,1,0,1,0
11,6189.0,5739.0,6648.0,1.0386104583740234,0.9827673,0.14875175058841705,0.8092787861824036,0.012225013226270676,0.001381401438266039,0.004933481104671955,0.023429498076438904,100.0,2022-02-06 00:00:00,0,12,0,0,0,0,0,0,0,0,1,1,0,0
12,6520.0,6046.0,6919.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-02-09 00:00:00,0,13,0,0,0,0,1,1,1,1,1,0,1,0
13,7138.0,6461.0,7529.0,1.02806293964386,0.98310244,0.14722637832164764,0.8108989596366882,0.012203250080347061,0.0013794663827866316,0.004927743226289749,0.023364229127764702,100.0,2022-02-14 00:00:00,0,14,0,0,0,1,0,0,0,1,1,1,0,0
14,5881.0,5361.0,5979.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-02-16 00:00:00,0,15,0,0,0,0,1,1,1,1,1,0,1,0
15,4376.0,4147.0,4785.0,1.029651761054993,0.98324764,0.15786395967006683,0.7997015118598938,0.012194526381790638,0.0013765261974185705,0.0049638450145721436,0.02389962039887905,98.0,2022-02-19 00:00:00,0,16,1,1,0,1,0,0,0,1,1,0,0,0
16,5509.0,5168.0,5720.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-02-21 00:00:00,0,17,0,0,0,0,1,1,1,1,1,0,1,0
